Valor ,ISIN,UBS Long Name,Issuer Name,Asset Class,Instrument Category,Sub-Asset Class ,Instrument Ccy
47103960,US72352L1061,Reg.shs -A- Pinterest Inc. (PINS),Pinterest Inc,Equities,Direct investments,Common stock,USD
47787541,US54951L1098,Sponsored American Deposit Share Luckin Coffee Inc. (Repr 8 Shs -A-)     (LK),Luckin Coffee Inc,Equities,Direct investments,Common stock,USD
11869921,US8740801043,Sponsored American Deposit Receipt TAL Education Group (Repr 1/3 Sh  -A-  )  (TAL),TAL Education Group,Equities,Direct investments,Common stock,USD
25949497,US00214Q3020,ARK Genomic Revolution Multi-Sector ETF Fund,ARK Genomic Revolution ETF,Equities,Pooled vehicles,Common stock,USD
41112361,US11135F1012,Reg.shs Broadcom Inc. (AVGO),Broadcom Inc,Equities,Direct investments,Common stock,USD
42826115,US7223041028,Sponsored American Deposit Share PDD Holdings Incorporation (Repr 4 Shs -A-) (PDD),PDD Holdings Incorporation,Equities,Direct investments,Common stock,USD
50914799,US26853E1029,Sponsored American Deposit Share EHang Holdings Ltd (Repr 2 Shs -A-) (EH),EHang Holdings Ltd,Equities,Direct investments,Common stock,USD
58353386,US69269L1044,Sponsored American Deposit Receipt Ozon Holdings PLC (Repr 1 Sh) (OZON),Ozon Holdings PLC,Equities,Direct investments,Common stock,USD
110138377,US53216B1044,Reg.shs  LifeMD Inc. (LFMD),LifeMD Inc,Equities,Direct investments,Common stock,USD
111229262,US5738741041,Reg.shs Marvell Technology Inc. (MRVL),Marvell Technology Inc,Equities,Direct investments,Common stock,USD
111854151,US83406F1021,Reg.shs SoFi Technologies Inc. (SOFI),SoFi Technologies Inc,Equities,Direct investments,Common stock,USD
112854138,US4234031049,Sponsored American Deposit Receipt Hello Group Inc (Repr 2 Shs -A-) (MOMO),Hello Group Inc,Equities,Direct investments,Common stock,USD
113133115,KYG651631007,Reg.shs Joby Aviation Incorporation (JOBY),Joby Aviation Incorporation,Equities,Direct investments,Common stock,USD
112870399,US7731221062,Reg.shs -A- Rocket Lab USA Inc. (RKLB),Rocket Lab USA Inc,Equities,Direct investments,Common stock,USD
113428209,US44486Q1031,Reg.shs Humacyte Inc (HUMA),Humacyte Inc,Equities,Direct investments,Common stock,USD
